编号,语文,数学,英语,地理,政治,历史,化学,物理,生物,计算机,音乐 ,体育,美术
1,83,65,83,84,84,90,70,85,66,77,78,78,82
2,74,53,62,70,85,82,68,77,57,63,74,79,89
3,79,71,82,79,86,86,75,87,67,75,78,79,94
4,76,62,84,77,84,86,74,73,71,74,89,73,91
5,81,70,94,92,85,76,86,88,71,79,85,88,90
6,54,44,62,71,83,85,66,85,40,72,77,70,88
7,82,60,82,78,80,79,70,79,73,67,78,73,84
8,85,62,92,87,83,83,88,89,83,76,78,85,90
9,83,80,85,88,80,82,77,90,68,76,74,81,95
10,89,88,90,88,85,82,83,89,90,82,85,88,97
11,77,75,94,85,81,81,85,90,73,76,83,88,86
12,84,64,80,84,83,84,76,84,71,74,77,82,90
13,55,42,64,62,85,91,63,69,59,62,78,74,87
14,81,63,86,85,86,85,82,90,71,66,82,71,85
15,82,68,92,89,85,80,85,94,77,83,89,70,95
16,77,68,87,85,83,90,78,92,70,76,78,62,78
17,70,54,77,81,82,88,69,91,65,75,78,77,96
18,56,65,60,77,83,84,70,85,58,71,75,73,87
19,84,70,86,82,83,88,72,88,64,69,78,88,93
20,71,72,90,89,81,78,73,85,67,77,82,81,85
